Begin Time - msec	End Time - msec	Duration - msec	gaze s1	gaze s2	gaze s3	
571077	571762	685	face s3	face s3	NA
571762	573348	1586			face s1
573348	573947	599	background floor		body s1
573947	575776	1829		background floor	face s1
575776	576125	349	face s3	background floor	NA
576127	576362	235	face s3	background floor	background wall
576362	576724	362		background floor	NA
576724	578205	1481			face s1
578205	578351	146	face s3	face s3	background floor
578351	578928	577	face s3	face s3	face s1
578928	579274	346	face s3	face s3	background wall
579274	582014	2740	face s3	face s3	face s1
582014	582200	186	face s3	face s3	NA
582200	583099	899		face s3	face s1
583099	583531	432	background window	face s3	face s2
583531	584367	836		face s3	background wall
584367	584948	581	face s3	face s3	face s1
584948	585738	790	face s3		background down
585738	586074	336		face s3	face s1
586074	586364	290	face s2		background wall
586367	587010	643	face s2		face s2
587010	588761	1751			face s1
588761	589686	925			NA
589686	592042	2356		face s1	face s1
592042	592764	722		face s1	body s1
592764	593041	277	NA	face s1	face s1
593041	593968	927			face s2
593968	595444	1476			face s1
595444	596128	684	background wall		background wall
596128	596354	226	background wall	face s1	body s1
596354	597360	1006		face s1	face s1
597360	600490	3130			background down
600490	604006	3516			face s1
604007	604560	553	face s3	face s1	background wall
604560	605280	720		face s1	NA
605280	608000	2720			face s1
608000	608129	129	NA	background wall	face s2
608129	608418	289	NA	background wall	NA
608418	609792	1374	NA	background wall	face s1
609792	610118	326		background wall	background wall
610118	615672	5554			face s1
615672	616683	1011	background floor	face s3	NA
616683	618135	1452			face s1
618135	619038	903	background window		background floor
619038	619771	733	background window	face s3	NA
619771	620476	705			
620476	621439	963	face s3	face s1	face s1
621439	621735	296	face s3	face s1	face s1
621735	621849	114	face s3	face s1	face s1
621849	622200	351	face s3		NA
622200	622456	256		body s1	face s1
622457	623322	865			NA
623322	624796	1474			face s1
624796	624937	141	background ceiling		background eyes closed
624937	626727	1790			face s1
626727	627361	634		face s1	background eyes closed
627361	632201	4840			face s1
632201	632356	155	face s3	background floor	NA
632356	635442	3086	face s3		face s1
635442	636005	563			NA
636005	636170	165	face s2	body s1	face s2
636171	636360	189	face s2		NA
636360	637445	1085	face s2		face s1
637445	638529	1084			face s2
638529	641682	3153			face s1
641682	642451	769	face s3	face s3	background floor
642451	643685	1234			face s1
643685	650292	6607			background wall
650292	651722	1430	face s3	body s3	face s1
651722	651963	241	face s3	body s3	NA
651963	653238	1275			background wall
653238	653405	167	NA	face s3	NA
653405	654128	723		face s3	face s2
654128	654325	197	face s3	face s3	NA
654325	657242	2917			face s1
657243	657520	277	NA	face s3	NA
657520	659423	1903			background wall
659423	659812	389	background floor	face s3	face s1
659813	660627	814	background floor	face s3	background floor
660627	661453	826	background floor	face s3	face s1
661455	661605	150	background floor	face s3	body s1
661605	661807	202	background floor	face s3	NA
661807	662362	555		face s3	background wall
662363	663395	1032	face s3	face s3	face s1
663395	663687	292	face s3	face s3	background wall
663687	664803	1116		face s3	face s1
664805	665327	522	face s3	face s3	NA
665327	666203	876	face s3	face s3	face s1
666203	666481	278	face s3	face s3	NA
666481	666807	326	face s3	face s3	face s2
666807	667067	260	face s3	face s3	NA
667068	667240	172	face s3	face s3	background wall
667242	667646	404	face s3	face s3	NA
667647	668735	1088		face s3	face s1
668735	668857	122	background wall	face s3	body s1
668858	669871	1013		face s3	NA
669871	670371	500	background window	face s3	background own gestures
670372	671285	913		face s3	face s1
671285	671939	654	face s3		face s2
671939	673454	1515			face s1
673454	674640	1186			face s2
674640	676620	1980	face s3		background wall
676620	677279	659	face s3	face s3	face s1
677279	677599	320	face s3	face s3	NA
677599	678241	642	face s3	face s3	face s1
678241	679081	840	face s3		face s2
679081	680172	1091	face s3		face s1
680172	680532	360	face s3	body s3	background wall
680532	683478	2946			face s1
683478	683754	276		face s3	NA
683754	683876	122	face s3	face s3	face s2
683878	684269	391	face s3	face s3	NA
684269	688293	4024	face s3		face s1
688293	688436	143	face s3	face s1	NA
688436	690491	2055		face s1	face s1
690491	690914	423	face s3	face s1	NA
690914	692409	1495			face s1
692409	692760	351	face s3	face s3	face s2
692760	693517	757		face s3	face s1
693517	694405	888	NA	face s3	background floor
694405	695324	919	NA		face s1
695324	696417	1093	NA	NA	face s2
696419	697927	1508			face s1
697927	698125	198	background ceiling	NA	background wall
698125	698685	560	background ceiling		face s1
698685	699283	598			background wall
699283	699653	370	NA		face s1
699653	700906	1253		face s1	background down
700906	701393	487	face s2		face s1
701393	711804	10411			face s2
711804	714129	2325			face s1
714129	715200	1071			face s2
715200	716246	1046		face s1	face s1
716246	716685	439	face s2	face s1	body s1
716685	717735	1050			face s2
717735	717886	151	face s2	face s3	NA
717886	718793	907	face s2		face s1
718793	719008	215	face s2	face s1	gestures s1
719009	724898	5889			face s2
724898	726569	1671			face s1
726569	727738	1169		face s3	background floor
727738	728198	460	face s2		face s2
728198	728967	769			face s1
728967	729562	595	face s3		NA
729562	730922	1360			background wall
730922	731370	448			face s1
731371	733763	2392			background down
733763	739727	5964			face s2
739727	740086	359		background wall	body s2
740086	748843	8757			face s2
748843	749163	320	face s2		background wall
749163	750409	1246		background wall	face s2
750410	750655	245			background wall
750655	750818	163		face s1	face s1
750818	751296	478	face s2	face s1	background wall
751296	751571	275	face s2	face s1	face s2
751571	752086	515	face s2		NA
752086	758618	6532			face s2
758618	760007	1389			face s1
760007	760203	196	face s3	face s3	background wall
760203	760493	290	face s3	face s3	face s1
760493	761481	988			NA
761481	768051	6570			face s2
768052	769565	1513			background own gestures
769565	773046	3481			face s2
773046	773441	395			face s1
773441	773599	158	face s3	face s3	NA
773599	773912	313	face s3		background wall
773912	774037	125	face s3	NA	face s1
774039	778246	4207			face s2
778246	779206	960		face s3	NA
779207	782377	3170			face s1
782377	786076	3699			face s2
786076	789301	3225			face s1
789301	792243	2942	face s2		face s2
792246	792725	479	face s2		NA
792728	794962	2234			face s2
794962	795603	641	background floor	face s1	NA
795603	796164	561	background floor		face s1
796164	796769	605	background floor		NA
796769	797087	318	background floor		face s2
797087	797525	438			background wall
797525	798289	764	face s3	face s3	face s1
798289	801408	3119			background wall
801408	809579	8171			face s2
809579	809843	264	NA		background wall
809843	810481	638	NA		NA
810483	811069	586		background wall	background wall
811069	811604	535	face s2		body s1
811604	812338	734	face s2		face s1
812339	813004	665	face s2		face s2
813004	814212	1208			background wall
814212	843125	28913			face s2
843125	843814	689	face s2 		NA
843814	845845	2031	face s2 		face s1
845846	850121	4275			face s2
850121	850530	409	NA	face s1	face s1
850530	851525	995		face s1	NA
851525	851723	198	face s2	face s1	background floor
851723	853931	2208			face s1
853931	854441	510	face s2		body s1
854441	856122	1681		face s1	face s1
856122	857607	1485	background window		background floor
857609	861362	3753			face s1
861362	862004	642	NA 	face s3	NA
862004	863526	1522	NA 	face s3	background floor
863526	864281	755	NA 	face s3	face s1
864281	866444	2163			background floor
866444	867397	953	NA		face s1
867397	868202	805		face s3	background wall
868202	868524	322	face s3	face s3	face s2
868525	869005	480		face s3	background down
869005	869847	842	background wall	face s3	face s1
869847	870082	235	background wall		background wall
870084	870357	273		NA	NA
870357	874326	3969			face s1
874326	875273	947	NA	face s1	background wall
875273	875853	580	NA		face s1
875853	876005	152	NA	background wall	background wall
876005	876282	277	NA	background wall	face s1
876282	876880	598	NA	background wall	background wall
876880	877284	404	NA	background wall	face s1
877284	878897	1613			body s1
878897	879603	706			background floor
879603	880364	761	NA		face s1
880364	882828	2464	NA		background wall
882828	883534	706		background camera	face s1
883534	884121	587	background floor	background camera	background wall
884121	884943	822	background floor	background camera	face s1
884943	886366	1423		background camera	background wall
886366	887126	760	face s3	background camera	background floor
887126	891726	4600			face s2
891726	892246	520	face s2	background wall	NA
892246	892808	562	face s2		background wall
892808	893329	521	face s2	face s3	face s1
893329	899361	6032	face s2		face s2
899361	899758	397	face s2	background camera	NA
899758	900130	372	face s2	background camera	face s1
900130	900489	359			background wall
900489	904243	3754			face s1
904243	907659	3416			face s2
907660	908093	433		face s3	face s1
908093	910915	2822			face s2
910915	913939	3024			face s1
913939	915118	1179		face s1	background wall
915118	916602	1484			face s1
916602	922648	6046			background wall
922649	924201	1552			NA
924201	928202	4001	face s3		face s1
928202	928652	450		face s1	NA
928652	936395	7743			face s1
936395	936519	124	face s3	NA	body s1
936519	937124	605	face s3		face s1
937127	938008	881			NA
938009	939996	1987	face s3		face s1
939996	940683	687	face s3	face s3	NA
940683	941376	693		face s3	background wall
941376	942599	1223		face s3	face s1
942599	942925	326	face s3	face s3	background wall
942925	944079	1154			face s2
944079	944718	639			background wall
944718	945835	1117	face s3		face s1
945835	946482	647	face s3		background wall
946482	946807	325	face s3	NA	face s1
946807	947818	1011	face s3		background wall
947818	949098	1280	face s3	face s3	face s1
949098	949445	347	face s3	face s3	background wall
949445	949721	276	face s3	face s3	face s2
949721	951798	2077			face s1
951798	952891	1093	face s3		background floor
952891	959522	6631			face s1
959522	959840	318	background window	face s1	background wall
959840	969486	9646			face s1
969486	970240	754	face s3	face s1	background wall
970240	974402	4162			face s1
974402	975805	1403	background wall		background wall
975807	976820	1013		face s3	face s1
976820	977492	672	face s3	face s3	background floor
977492	978054	562		face s3	face s1
978054	978489	435	background wall	face s3	background wall
978489	979052	563	background wall	face s3	NA
979052	983671	4619			face s1
983671	984052	381	NA	NA	face s2
984052	986568	2516	NA		face s1
986568	987207	639			background wall
987207	1005295	18088			face s1
1005295	1005802	507	body s3	face s1	NA
1005802	1010738	4936			face s1
1010738	1011602	864		face s1	NA
1011602	1015287	3685		face s1	face s1
1015287	1016656	1369		face s1	background wall
1016656	1017043	387	face s3	face s1	NA
1017043	1018440	1397	face s3	face s1	face s1
1018440	1019040	600		face s1	NA
1019040	1019644	604	background wall	face s1	face s1
1019646	1020042	396	background wall	face s1	NA
1020042	1021528	1486		face s1	background floor
1021528	1022439	911	background floor	face s1	face s1
1022439	1023015	576	background floor	face s1	body s1
1023015	1023672	657	background floor	face s1	face s1
1023672	1024329	657	background floor	face s1	body s1
1024329	1027684	3355		face s1	face s1
1027684	1028158	474	body s3	face s1	background wall
1028158	1029707	1549			face s1
1029710	1030935	1225			face s2
1030935	1031483	548			face s1
1031483	1031765	282	face s2	NA	face s2
1031765	1049969	18204			face s1
1049969	1050645	676			NA
1050645	1051438	793	background own body		background wall
1051438	1053684	2246			face s1
1053684	1055612	1928			background down
1055613	1059242	3629			face s1
1059242	1059364	122	NA	background camera	background wall
1059364	1059775	411			NA
1059776	1062119	2343			face s1
1062119	1062362	243	background eyes closed	NA	NA
1062362	1065323	2961			background wall
1065323	1065442	119	background floor	face s1	NA
1065443	1076239	10796			face s1
1076239	1077361	1122			body s1
1077362	1080438	3076			face s1
1080438	1081764	1326		background down	background wall
1081764	1082701	937		background down	face s1
1082701	1083089	388			body s1
1083089	1084796	1707		face s1	face s1
1084796	1085125	329	face s2	face s1	face s2
1085125	1087653	2528			face s1
1087653	1088678	1025	NA		background camera
1088678	1091093	2415			face s1
1091096	1091567	471	background close s3	face s1	face s2
1091567	1092881	1314	background close s3		face s1
1092881	1093135	254	background close s3		body s1
1093136	1093603	467	background close s3	background wall	face s1
1093603	1095768	2165			background camera
1095769	1096405	636			background wall
1096405	1096541	136	background ceiling	face s1	body s1
1096543	1096848	305	background ceiling		face s1
1096848	1097104	256	background ceiling		body s1
1097104	1103136	6032			face s1
1103136	1103260	124	face s3	face s1	background wall
1103260	1103649	389	face s3	face s1	NA
1103649	1104175	526		face s1	face s1
1104175	1105098	923	face s2	face s1	face s2
1105098	1108053	2955			face s1
1108054	1108724	670	background floor		background wall
1108724	1109083	359	background floor	face s1	NA
1109083	1109810	727	background floor		face s1
1109810	1110337	527	background floor		body s1
1110337	1111205	868			face s1
1111205	1111760	555	face s3		body s1
1111760	1128293	16533			face s1
1128295	1128682	387			background wall
1128682	1133930	5248			face s1
1133930	1134279	349			background wall
1134279	1134401	122	background wall	face s1	NA
1134401	1137375	2974			face s1
1137375	1137768	393	face s2		face s2
1137768	1138121	353	face s2	face s1	background floor
1138121	1142726	4605			face s1
1142726	1143971	1245			background wall
1143971	1144285	314	NA	background camera	body s1
1144285	1147660	3375			face s1
1147660	1149295	1635	face s3		face s2
1149295	1149644	349	face s3		background floor
1149644	1156840	7196			face s1
1156840	1159687	2847			face s2
1159690	1165656	5966			face s1
1165656	1166482	826	NA	NA	background wall
1166482	1166692	210	NA	NA	body s1
1166692	1166886	194	NA		face s1
1166886	1167935	1049			NA
1167935	1168648	713	face s2	face s1	face s2
1168648	1173281	4633			face s1
1173281	1173401	120	face s3	NA	NA
1173402	1174764	1362			background floor
1174764	1175282	518			face s1
1175282	1175885	603	NA		NA
1175885	1176245	360	NA	face s1	background wall
1176245	1176711	466		face s1	body s1
1176711	1178042	1331		face s1	face s1
1178042	1180442	2400			face s2
1180442	1180757	315	face s2		body s2
1180757	1191764	11007			face s2
1191764	1193160	1396	NA	face s3	face s1
1193160	1195927	2767			face s2
1195927	1197605	1678			face s1
1197605	1198525	920			NA
1198526	1199492	966		NA	face s1
