Begin Time - msec	End Time - msec	Duration - msec	gaze s1	gaze s2	gaze s3	
1020441	1021238	797	face s3	face s1	background floor
1021238	1024393	3155	background floor	face s1	
1024393	1025645	1252	face s3	face s1	face s1
1025645	1026897	1252	background window	face s1	face s1
1026897	1029161	2264	body s3	face s1	
1029161	1029339	178	face s3	face s1	face s1
1029341	1029914	573	NA		
1029914	1031404	1490	face s3		
1031404	1032760	1356	face s2		
1032761	1033706	945	face s3		face s1
1033706	1036004	2298	background window		face s1
1036007	1037665	1658	background floor	face s1	face s1
1037665	1038649	984	face s3	face s1	face s1
1038649	1039486	837	background window	face s1	face s1
1039486	1040686	1200	background wall		face s1
1040686	1043100	2414	face s3		face s1
1043100	1043960	860	body s3		face s1
1043962	1044235	273	background eyes closed	body s1	face s1
1044235	1044885	650	background window		face s1
1044885	1045237	352	body s3	face s1	face s1
1045237	1047530	2293	face s3		face s1
1047530	1048080	550	background window	body s1	face s1
1048081	1050163	2082	face s3		
1050163	1052146	1983	background own body		
1052146	1053265	1119	NA		face s1
1053265	1053643	378	face s3		face s1
1053643	1055037	1394	background ceiling		
1055038	1056391	1353	background window		
1056391	1056758	367	background wall	background down	face s1
1056758	1057803	1045	face s3		face s1
1057803	1059433	1630	NA		
1059433	1059686	253	background ceiling		NA
1059686	1060704	1018	background wall		
1060704	1061167	463	background own body		face s1
1061167	1062557	1390	background eyes closed		
1062557	1063477	920	face s3		background wall
1063477	1066343	2866	background floor		
1066343	1066639	296	body s3	face s1	face s1
1066639	1067400	761	face s3	face s1	face s1
1067400	1071837	4437	background wall		face s1
1071837	1072363	526	NA	face s1	face s1
1072363	1075397	3034	background wall		face s1
1075397	1076570	1173	NA		
1076570	1077651	1081	background wall		
1077652	1078440	788	face s3		face s1
1078440	1078966	526	background wall	face s1	face s1
1078966	1080235	1269	NA		face s1
1080235	1080839	604	face s3		
1080839	1081518	679	NA	background down	background wall
1081518	1082459	941	background window	background down	
1082461	1082975	514	background camera		
1082975	1083694	719	background floor	face s1	
1083694	1084743	1049	NA	face s1	face s1
1084743	1085126	383	face s2	face s1	
1085129	1089004	3875	NA		
1089004	1093642	4638	background close s3		
1093642	1093969	327	face s3		background camera
1093969	1096046	2077	NA		
1096046	1098104	2058	background ceiling		
1098104	1098321	217	background wall		face s1
1098321	1098487	166	face s3	face s1	face s1
1098489	1098768	279	NA	face s1	face s1
1098768	1102404	3636	face s3	face s1	face s1
1102404	1102925	521	body s3	face s1	face s1
1102925	1103811	886	face s3	face s1	
1103811	1105524	1713	face s2		
1105524	1107884	2360	face s3		face s1
1107884	1110886	3002	background floor		
1110886	1113373	2487	face s3		
1113373	1114622	1249	background floor	face s1	face s1
1114622	1115771	1149	face s3	face s1	face s1
1115773	1116223	450	background window	face s1	face s1
1116224	1117214	990	background floor	face s1	face s1
1117214	1118490	1276	face s3	face s1	face s1
1118490	1118850	360	body s2	face s1	face s1
1118850	1119680	830	face s3	face s1	face s1
1119680	1120293	613	background window	face s1	face s1
1120293	1120815	522	background wall	face s1	face s1
1120815	1122085	1270	face s3	face s1	face s1
1122085	1123966	1881	background wall		face s1
1123966	1124521	555	face s3	face s1	face s1
1124521	1124997	476	background wall	face s1	face s1
1124997	1125242	245	face s2	face s1	face s1
1125242	1126089	847	face s3	face s1	face s1
1126089	1126327	238	body s3	face s1	face s1
1126327	1128433	2106	background floor		
1128433	1128631	198	NA		background wall
1128631	1129002	371	face s3	face s1	
1129002	1129442	440	NA	face s1	face s1
1129442	1130611	1169	background wall		face s1
1130611	1132251	1640	face s3	face s1	face s1
1132251	1132903	652	NA		face s1
1132906	1134198	1292	background window		
1134198	1134553	355	background wall	face s1	
1134553	1137280	2727	face s3		face s1
1137280	1139322	2042	face s2		
1139322	1139644	322	face s3	face s1	face s1
1139644	1141291	1647	face s2		face s1
1141291	1142742	1451	face s3		
1142742	1143769	1027	NA	background floor	background wall
1143769	1143970	201	body s2		background wall
1143970	1145488	1518	NA	background camera	
1145488	1146574	1086	background wall		face s1
1146574	1150652	4078	face s3		
1150652	1151477	825	background wall	background wall	face s1
1151477	1152241	764	NA		face s1
1152241	1153568	1327	face s3	face s1	face s1
1153568	1154832	1264	face s2		face s1
1154832	1155846	1014	face s3		face s1
1155846	1156079	233	body s3	NA	face s1
1156079	1156768	689	face s3		face s1
1156768	1157494	726	face s2		
1157494	1157675	181	body s2		face s2
1157675	1158315	640	face s2		face s2
1158315	1158842	527	NA		face s2
1158842	1159165	323	face s3	face s1	face s2
1159165	1159518	353	NA	face s1	face s2
1159518	1160276	758	face s2	face s1	
1160276	1161365	1089	face s3		face s1
1161365	1161874	509	NA	NA	face s1
1161874	1164281	2407	face s3		face s1
1164281	1167321	3040	NA		
1167321	1167682	361	background wall	face s1	NA
1167682	1169289	1607	face s2	face s1	
1169289	1169770	481	background wall		face s1
1169770	1170370	600	face s3	face s1	face s1
1170371	1171503	1132	background window		face s1
1171503	1171919	416	background camera	face s1	face s1
1171919	1172653	734	background floor		face s1
1172653	1173090	437	background wall		face s1
1173090	1174368	1278	face s3		
1174368	1174851	483	face s2	face s1	
1174851	1176246	1395	NA		
1176247	1176482	235	background wall	face s1	body s1
1176482	1176982	500	face s3	face s1	
1176982	1178234	1252	NA	face s1	
1178234	1184479	6245	face s2		
1184479	1185681	1202	NA		face s2
1185681	1185963	282	background wall	face s3	face s2
1185963	1186124	161	NA	face s3	face s2
1186124	1186284	160	background wall	face s3	face s2
1186284	1186763	479	face s2	face s3	face s2
1186763	1188131	1368	NA	face s3	face s2
1188131	1188527	396	face s2	face s3	face s2
1188527	1188750	223	face s3	face s3	face s2
1188750	1190330	1580	face s2		face s2
1190330	1191292	962	NA		face s2
1191292	1191602	310	background wall		face s2
1191602	1194119	2517	NA		
1194119	1194484	365	face s2		face s2
1194484	1194709	225	NA		face s2
1194711	1195560	849	face s3	face s3	face s2
1195560	1196514	954	NA		
1196514	1198015	1501	background wall		
1198015	1198538	523	NA		
1198538	1200139	1601	background wall		
294726	299247	4521		face s3	
299247	301883	2636		gestures s3	face s1
301883	303040	1157	face s3	face s3	face s1
303040	303488	448	face s3	body s3	
303488	310834	7346		face s3	
310834	311156	322	face s1	background wall	face s1
311156	316645	5489		face s1	
316645	317232	587		body s1	
317232	323296	6064		face s1	
323296	323958	662	face s3	body s1	face s1
323958	324470	512		NA	face s1
324470	324727	257	face s2	background camera	face s1
324727	325128	401	face s2	face s1	face s1
325128	325568	440	face s2	background wall	face s1
325568	326119	551	face s2	face s1	face s1
326119	326601	482	face s2	NA	face s1
326601	327201	600	face s2	face s1	
327201	328727	1526		NA	
328727	329601	874		face s1	background floor
329601	329833	232	face s3	background wall	background floor
329833	330082	249	face s3	face s1	background floor
330082	335374	5292		body s1	
335374	337361	1987		NA	
337361	339734	2373	NA	background camera	
339734	341521	1787	NA	background wall	
341521	342566	1045	NA	face s3	
342566	344164	1598		background wall	background own body
344164	345448	1284		face s3	
345448	346284	836	background floor	NA	face s1
346284	348961	2677		face s1	face s1
348961	349242	281	face s3	NA	face s1
349242	351806	2564		face s1	
351806	352043	237	face s2	NA	face s2
352043	353242	1199		face s1	face s2
353242	353521	279		NA	face s2
353521	353909	388		face s1	face s2
353909	354125	216	background wall	body s1	face s2
354126	355845	1719		face s1	face s2
355845	356403	558		background floor	face s2
356403	357202	799	background wall	NA	face s2
